,yhat,y_test
688,0.9222822277912108,
689,1.3644974928861047e-06,
690,0.0012627180697106645,
691,0.0012627180697106645,
692,0.0,
693,0.0,
694,0.8307583292417077,
695,0.9210596219474259,
696,0.9210596219474259,
697,0.0,
698,0.0012613535722177781,
699,0.0012613535722177781,
700,1.3644974928861047e-06,
701,1.3644974928861047e-06,
702,0.8256673518439417,
703,0.9197893320510564,
704,0.9197893320510564,
705,1.3644974928861047e-06,
706,0.0012627180697106645,
707,0.0012627180697106645,
708,1.3644974928861047e-06,
709,1.3644974928861047e-06,
710,0.8269307113886093,
711,0.9204323848403579,
712,0.9204323848403579,
713,1.3644974928861047e-06,
714,0.0012627180697106645,
715,0.0012627180697106645,
716,1.3644974928861047e-06,
717,1.3644974928861047e-06,
718,0.8287108719597444,
719,0.9228328521668587,
720,0.9228328521668587,
721,1.3644974928861047e-06,
722,0.0012627180697106645,
723,0.0012627180697106645,
724,1.3644974928861047e-06,
725,1.3644974928861047e-06,
726,0.8293600718137336,
727,0.923482052020848,
728,0.923482052020848,
729,1.3644974928861047e-06,
730,0.0012627180697106645,
731,0.0012627180697106645,
732,1.3644974928861047e-06,
733,1.3644974928861047e-06,
734,0.8275289605992601,
735,0.9204757121414212,
736,0.9204757121414212,
737,1.3644974928861047e-06,
738,0.0012627180697106645,
739,0.0012627180697106645,
740,0.000498377248799564,
741,0.000498377248799564,
742,0.8289775298708998,
743,0.9224819484462407,
744,0.9224819484462407,
745,0.000498377248799564,
746,0.00225674357232402,
747,0.00225674357232402,
748,1.3644974928861047e-06,
749,1.3644974928861047e-06,
750,0.825004878842686,
751,0.9186351140375029,
752,0.9186351140375029,
753,1.3644974928861047e-06,
754,0.0012627180697106645,
755,0.0012627180697106645,
756,1.3644974928861047e-06,
757,1.3644974928861047e-06,
758,0.8287108719597444,
759,0.9228328521668587,
760,0.9228328521668587,
761,1.3644974928861047e-06,
762,0.0012627180697106645,
763,0.0012627180697106645,
764,1.3644974928861047e-06,
765,1.3644974928861047e-06,
766,0.8293554808429174,
767,0.9234774610500317,
768,0.9234774610500317,
769,1.3644974928861047e-06,
770,0.0012627180697106645,
771,0.0012627180697106645,
772,1.3644974928861047e-06,
773,1.3644974928861047e-06,
774,0.8262568082880951,
775,0.9203787884952097,
776,0.9203787884952097,
777,1.3644974928861047e-06,
778,0.0012627180697106645,
779,0.0012627180697106645,
780,0.0,
781,0.0,
782,0.8287415624052132,
783,0.9228635426123276,
784,0.9228635426123276,
785,0.0,
786,0.0012613535722177781,
787,0.0012613535722177781,
788,1.3644974928861047e-06,
789,1.3644974928861047e-06,
790,0.8293273944704098,
791,0.9241160413441909,
792,0.9241160413441909,
793,1.3644974928861047e-06,
794,0.0006321452871798978,
795,0.0006321452871798978,
796,1.3644974928861047e-06,
797,1.3644974928861047e-06,
798,0.8287391011651222,
799,0.9228610813722367,
800,0.9228610813722367,
801,1.3644974928861047e-06,
802,0.0012627180697106645,
803,0.0012627180697106645,
804,1.3644974928861047e-06,
805,1.3644974928861047e-06,
806,0.8269101069442034,
807,0.9210320871513181,
808,0.9210320871513181,
809,1.3644974928861047e-06,
810,0.0012627180697106645,
811,0.0012627180697106645,
812,1.3644974928861047e-06,
813,1.3644974928861047e-06,
814,0.8274723733482152,
815,0.9215943535553297,
816,0.9215943535553297,
817,1.3644974928861047e-06,
818,0.0012627180697106645,
819,0.0012627180697106645,
820,1.3644974928861047e-06,
821,1.3644974928861047e-06,
822,0.8299417831433437,
823,0.9247304300171247,
824,0.9247304300171247,
825,1.3644974928861047e-06,
826,0.0006321452871798978,
827,0.0006321452871798978,
828,1.3644974928861047e-06,
829,1.3644974928861047e-06,
830,0.8275244956171371,
831,0.9216464758242519,
832,0.9216464758242519,
833,1.3644974928861047e-06,
834,0.0012627180697106645,
835,0.0012627180697106645,
836,0.0,
837,0.0,
838,0.8287415624052132,
839,0.9228635426123276,
840,0.9228635426123276,
841,0.0,
842,0.0012613535722177781,
843,0.0012613535722177781,
844,0.003997885217682608,
845,0.0,
846,0.0,
847,0.003997885217682608,
848,0.0,
849,0.0,
850,0.0,
851,0.0013711809573556336,
852,0.0013711809573556336,
853,0.0020128167016965964,
854,0.0,
855,0.0,
856,0.8900658737055465,
857,0.0,
858,0.002550250932275449,
859,0.0,
860,0.0006083130022781626,
861,0.0016355266336085022,
862,0.008588894034865707,
863,0.14293895048184513,
864,0.0,
865,0.03153804271993265,
866,0.0006666666666666666,
867,0.048448244312534805,
868,0.0,
869,0.0,
870,0.0,
871,0.0,
872,0.0,
873,0.0,
874,0.0,
875,0.0,
876,0.0,
877,0.0,
878,0.0,
879,0.0,
880,0.0,
881,0.0,
882,0.0,
883,0.0,
884,0.0,
885,0.0006251170444341556,
886,0.0,
887,0.0,
888,0.0006251170444341556,
889,1.3644974928861047e-06,
890,1.3644974928861047e-06,
891,1.3644974928861047e-06,
892,1.3644974928861047e-06,
893,0.0012711428739671322,
894,0.6271821903901492,
895,0.8862192705402826,
896,0.0,
897,0.0006680311641595528,
898,0.9361009023616538,
899,0.02154939558527161,
900,0.1398084025536462,
901,0.0,
902,0.0,
903,0.0,
904,0.0,
905,0.0,
906,0.0,
907,0.0,
908,0.1398084025536462,
909,0.8553416257758627,
910,0.8553416257758627,
911,0.022118868292422378,
912,0.13982323598403024,
913,0.0005694727071507621,
914,0.0005694727071507621,
915,0.0005694727071507621,
916,0.0005694727071507621,
917,0.0005694727071507621,
918,0.0005694727071507621,
919,0.0005694727071507621,
920,0.13982323598403024,
921,0.8541675619994683,
922,0.8541675619994683,
923,0.02154939558527161,
924,0.1397367770337106,
925,0.0,
926,0.0,
927,0.0,
