,yhat,y_test
117,0.05408494924750496,
118,0.7597300944177644,
119,0.0,
120,0.0,
121,0.007102407344704762,
122,0.0,
123,0.14319693000531503,
124,0.0,
125,0.0,
126,0.7481345193933453,
127,0.0,
128,0.0,
129,0.776,
130,0.0,
131,0.0,
132,0.006,
133,0.006,
134,0.006,
135,0.0,
136,0.006,
137,0.0,
138,0.002,
139,0.0,
140,0.21112200489773378,
141,0.026,
142,0.002,
143,0.017573348936148443,
144,0.002,
145,0.025082031127560474,
146,0.0,
147,0.002,
148,0.008,
149,0.11017907984201142,
150,0.0,
151,0.10729052516752359,
152,0.002,
153,0.0,
154,0.37055759548098754,
155,0.0,
156,0.15371813322743438,
157,0.0,
158,0.01191041112701984,
159,0.01391041112701984,
160,0.002,
161,0.018,
162,0.014,
163,0.002,
164,0.011790129372304744,
165,0.34130868962105826,
166,0.06789987807814196,
167,0.01,
168,0.012,
169,0.016,
170,0.06290905908799134,
171,0.02397791559522009,
172,0.092,
173,0.15611994408248558,
174,0.01,
175,0.004,
176,0.002,
177,0.012,
178,0.006,
179,0.0059144948755490475,
180,0.02197791559522009,
181,0.04359641510081985,
182,0.014,
183,0.012,
184,0.08988230552196694,
185,0.16574526457394392,
186,0.3053657142020258,
187,0.006,
188,0.07490905908799134,
189,0.012,
190,0.002,
191,0.009815444672021233,
192,0.24734236115366962,
193,0.01797791559522009,
194,0.12982573083717283,
195,0.25907274974456695,
196,0.016,
197,0.004,
198,0.0,
199,0.006,
200,0.008,0.0
201,0.006,0.0
202,0.152,0.0
203,0.094,0.0
204,0.05957302202360486,0.0
205,0.012,
206,0.016,0.0
207,0.124,0.0
208,0.3356663783949033,0.0
209,0.24480394220663815,
210,0.21727084202610658,
211,0.15282516158512482,
212,0.058162736975437855,
213,0.0,
214,0.002,
215,0.5689474015435966,0.0
216,0.0,0.0
217,0.19562355136964674,0.0
218,0.0,0.0
219,0.0,0.0
220,0.0,0.0
221,0.061910411127019845,0.0
222,0.016,0.0
223,0.016,0.0
224,0.052,0.0
225,0.006,0.0
226,0.016,0.0
227,0.012,0.0
228,0.008,0.0
229,0.0,0.0
230,0.0,0.0
231,0.0,1.0
232,0.0,
233,0.0,
234,0.002,
235,0.038,
236,0.06350265517054757,
237,0.012,
238,0.0,
239,0.016,
240,0.002,
241,0.0,
